row_id,microbusiness_density
1001_2022-11-01,3.4638555
1001_2022-12-01,3.4638555
1001_2023-01-01,3.4638555
1001_2023-02-01,3.4638555
1001_2023-03-01,3.4638555
1001_2023-04-01,3.4638555
1001_2023-05-01,3.4638555
1001_2023-06-01,3.4638555
1003_2022-11-01,8.3597984
1003_2022-12-01,8.3597984
1003_2023-01-01,8.3597984
1003_2023-02-01,8.3597984
1003_2023-03-01,8.3597984
1003_2023-04-01,8.3597984
1003_2023-05-01,8.3597984
1003_2023-06-01,8.3597984
1005_2022-11-01,1.2320744
1005_2022-12-01,1.2320744
1005_2023-01-01,1.2320744
1005_2023-02-01,1.2320744
1005_2023-03-01,1.2320744
1005_2023-04-01,1.2320744
1005_2023-05-01,1.2320744
1005_2023-06-01,1.2320744
1007_2022-11-01,1.28724
1007_2022-12-01,1.28724
1007_2023-01-01,1.28724
1007_2023-02-01,1.28724
1007_2023-03-01,1.28724
1007_2023-04-01,1.28724
1007_2023-05-01,1.28724
1007_2023-06-01,1.28724
1009_2022-11-01,1.8317825
1009_2022-12-01,1.8317825
1009_2023-01-01,1.8317825
1009_2023-02-01,1.8317825
1009_2023-03-01,1.8317825
1009_2023-04-01,1.8317825
1009_2023-05-01,1.8317825
1009_2023-06-01,1.8317825
1011_2022-11-01,0.98809224
1011_2022-12-01,0.98809224
1011_2023-01-01,0.98809224
1011_2023-02-01,0.98809224
1011_2023-03-01,0.98809224
1011_2023-04-01,0.98809224
1011_2023-05-01,0.98809224
1011_2023-06-01,0.98809224
1013_2022-11-01,2.1859705
1013_2022-12-01,2.1859705
1013_2023-01-01,2.1859705
1013_2023-02-01,2.1859705
1013_2023-03-01,2.1859705
1013_2023-04-01,2.1859705
1013_2023-05-01,2.1859705
1013_2023-06-01,2.1859705
1015_2022-11-01,2.8005137
1015_2022-12-01,2.8005137
1015_2023-01-01,2.8005137
1015_2023-02-01,2.8005137
1015_2023-03-01,2.8005137
1015_2023-04-01,2.8005137
1015_2023-05-01,2.8005137
1015_2023-06-01,2.8005137
1017_2022-11-01,1.4425437
1017_2022-12-01,1.4425437
1017_2023-01-01,1.4425437
1017_2023-02-01,1.4425437
1017_2023-03-01,1.4425437
1017_2023-04-01,1.4425437
1017_2023-05-01,1.4425437
1017_2023-06-01,1.4425437
1019_2022-11-01,1.117345
1019_2022-12-01,1.117345
1019_2023-01-01,1.117345
1019_2023-02-01,1.117345
1019_2023-03-01,1.117345
1019_2023-04-01,1.117345
1019_2023-05-01,1.117345
1019_2023-06-01,1.117345
1021_2022-11-01,1.8132015
1021_2022-12-01,1.8132015
1021_2023-01-01,1.8132015
1021_2023-02-01,1.8132015
1021_2023-03-01,1.8132015
1021_2023-04-01,1.8132015
1021_2023-05-01,1.8132015
1021_2023-06-01,1.8132015
1023_2022-11-01,1.6851181
1023_2022-12-01,1.6851181
1023_2023-01-01,1.6851181
1023_2023-02-01,1.6851181
1023_2023-03-01,1.6851181
1023_2023-04-01,1.6851181
1023_2023-05-01,1.6851181
1023_2023-06-01,1.6851181
1025_2022-11-01,1.3526518
1025_2022-12-01,1.3526518
1025_2023-01-01,1.3526518
1025_2023-02-01,1.3526518
1025_2023-03-01,1.3526518
1025_2023-04-01,1.3526518
1025_2023-05-01,1.3526518
1025_2023-06-01,1.3526518
1027_2022-11-01,1.5829384
1027_2022-12-01,1.5829384
1027_2023-01-01,1.5829384
1027_2023-02-01,1.5829384
1027_2023-03-01,1.5829384
1027_2023-04-01,1.5829384
1027_2023-05-01,1.5829384
1027_2023-06-01,1.5829384
1029_2022-11-01,1.3555517
1029_2022-12-01,1.3555517
1029_2023-01-01,1.3555517
1029_2023-02-01,1.3555517
1029_2023-03-01,1.3555517
1029_2023-04-01,1.3555517
1029_2023-05-01,1.3555517
1029_2023-06-01,1.3555517
1031_2022-11-01,2.2163165
1031_2022-12-01,2.2163165
1031_2023-01-01,2.2163165
1031_2023-02-01,2.2163165
1031_2023-03-01,2.2163165
1031_2023-04-01,2.2163165
1031_2023-05-01,2.2163165
1031_2023-06-01,2.2163165
1033_2022-11-01,2.441494
1033_2022-12-01,2.441494
1033_2023-01-01,2.441494
1033_2023-02-01,2.441494
1033_2023-03-01,2.441494
1033_2023-04-01,2.441494
1033_2023-05-01,2.441494
1033_2023-06-01,2.441494
1035_2022-11-01,1.095947
1035_2022-12-01,1.095947
1035_2023-01-01,1.095947
1035_2023-02-01,1.095947
1035_2023-03-01,1.095947
1035_2023-04-01,1.095947
1035_2023-05-01,1.095947
1035_2023-06-01,1.095947
1037_2022-11-01,0.82838911
1037_2022-12-01,0.82838911
1037_2023-01-01,0.82838911
1037_2023-02-01,0.82838911
1037_2023-03-01,0.82838911
1037_2023-04-01,0.82838911
1037_2023-05-01,0.82838911
1037_2023-06-01,0.82838911
1039_2022-11-01,1.6845804
1039_2022-12-01,1.6845804
1039_2023-01-01,1.6845804
1039_2023-02-01,1.6845804
1039_2023-03-01,1.6845804
1039_2023-04-01,1.6845804
1039_2023-05-01,1.6845804
1039_2023-06-01,1.6845804
1041_2022-11-01,1.0612549
1041_2022-12-01,1.0612549
1041_2023-01-01,1.0612549
1041_2023-02-01,1.0612549
1041_2023-03-01,1.0612549
1041_2023-04-01,1.0612549
1041_2023-05-01,1.0612549
1041_2023-06-01,1.0612549
1043_2022-11-01,2.6872737
1043_2022-12-01,2.6872737
1043_2023-01-01,2.6872737
1043_2023-02-01,2.6872737
1043_2023-03-01,2.6872737
1043_2023-04-01,2.6872737
1043_2023-05-01,2.6872737
1043_2023-06-01,2.6872737
1045_2022-11-01,1.7595617
1045_2022-12-01,1.7595617
1045_2023-01-01,1.7595617
1045_2023-02-01,1.7595617
1045_2023-03-01,1.7595617
1045_2023-04-01,1.7595617
1045_2023-05-01,1.7595617
1045_2023-06-01,1.7595617
1047_2022-11-01,1.4739386
1047_2022-12-01,1.4739386
1047_2023-01-01,1.4739386
1047_2023-02-01,1.4739386
1047_2023-03-01,1.4739386
1047_2023-04-01,1.4739386
1047_2023-05-01,1.4739386
1047_2023-06-01,1.4739386
1049_2022-11-01,2.2713821
1049_2022-12-01,2.2713821
1049_2023-01-01,2.2713821
1049_2023-02-01,2.2713821
1049_2023-03-01,2.2713821
1049_2023-04-01,2.2713821
1049_2023-05-01,2.2713821
1049_2023-06-01,2.2713821
1051_2022-11-01,3.2452056
1051_2022-12-01,3.2452056
1051_2023-01-01,3.2452056
1051_2023-02-01,3.2452056
1051_2023-03-01,3.2452056
1051_2023-04-01,3.2452056
1051_2023-05-01,3.2452056
1051_2023-06-01,3.2452056
1053_2022-11-01,1.948416
1053_2022-12-01,1.948416
1053_2023-01-01,1.948416
1053_2023-02-01,1.948416
1053_2023-03-01,1.948416
1053_2023-04-01,1.948416
1053_2023-05-01,1.948416
1053_2023-06-01,1.948416
1055_2022-11-01,2.7364635
1055_2022-12-01,2.7364635
1055_2023-01-01,2.7364635
1055_2023-02-01,2.7364635
1055_2023-03-01,2.7364635
1055_2023-04-01,2.7364635
1055_2023-05-01,2.7364635
1055_2023-06-01,2.7364635
1057_2022-11-01,1.0514109
1057_2022-12-01,1.0514109
1057_2023-01-01,1.0514109
1057_2023-02-01,1.0514109
1057_2023-03-01,1.0514109
1057_2023-04-01,1.0514109
1057_2023-05-01,1.0514109
1057_2023-06-01,1.0514109
1059_2022-11-01,1.9323264
1059_2022-12-01,1.9323264
1059_2023-01-01,1.9323264
1059_2023-02-01,1.9323264
1059_2023-03-01,1.9323264
1059_2023-04-01,1.9323264
1059_2023-05-01,1.9323264
1059_2023-06-01,1.9323264
1061_2022-11-01,1.4523023
1061_2022-12-01,1.4523023
1061_2023-01-01,1.4523023
1061_2023-02-01,1.4523023
1061_2023-03-01,1.4523023
1061_2023-04-01,1.4523023
1061_2023-05-01,1.4523023
1061_2023-06-01,1.4523023
1063_2022-11-01,1.4407436
1063_2022-12-01,1.4407436
1063_2023-01-01,1.4407436
1063_2023-02-01,1.4407436
1063_2023-03-01,1.4407436
1063_2023-04-01,1.4407436
1063_2023-05-01,1.4407436
1063_2023-06-01,1.4407436
1065_2022-11-01,1.1825964
1065_2022-12-01,1.1825964
1065_2023-01-01,1.1825964
1065_2023-02-01,1.1825964
1065_2023-03-01,1.1825964
1065_2023-04-01,1.1825964
1065_2023-05-01,1.1825964
1065_2023-06-01,1.1825964
1067_2022-11-01,2.4543042
1067_2022-12-01,2.4543042
1067_2023-01-01,2.4543042
1067_2023-02-01,2.4543042
1067_2023-03-01,2.4543042
1067_2023-04-01,2.4543042
1067_2023-05-01,2.4543042
1067_2023-06-01,2.4543042
1069_2022-11-01,3.4243109
1069_2022-12-01,3.4243109
1069_2023-01-01,3.4243109
1069_2023-02-01,3.4243109
1069_2023-03-01,3.4243109
1069_2023-04-01,3.4243109
1069_2023-05-01,3.4243109
1069_2023-06-01,3.4243109
1071_2022-11-01,1.7799511
1071_2022-12-01,1.7799511
1071_2023-01-01,1.7799511
1071_2023-02-01,1.7799511
1071_2023-03-01,1.7799511
1071_2023-04-01,1.7799511
1071_2023-05-01,1.7799511
1071_2023-06-01,1.7799511
1073_2022-11-01,6.5080609
1073_2022-12-01,6.5080609
1073_2023-01-01,6.5080609
1073_2023-02-01,6.5080609
1073_2023-03-01,6.5080609
1073_2023-04-01,6.5080609
1073_2023-05-01,6.5080609
1073_2023-06-01,6.5080609
1075_2022-11-01,0.93406087
1075_2022-12-01,0.93406087
1075_2023-01-01,0.93406087
1075_2023-02-01,0.93406087
1075_2023-03-01,0.93406087
1075_2023-04-01,0.93406087
1075_2023-05-01,0.93406087
1075_2023-06-01,0.93406087
1077_2022-11-01,4.0402412
1077_2022-12-01,4.0402412
1077_2023-01-01,4.0402412
1077_2023-02-01,4.0402412
1077_2023-03-01,4.0402412
1077_2023-04-01,4.0402412
1077_2023-05-01,4.0402412
1077_2023-06-01,4.0402412
1079_2022-11-01,1.3549086
1079_2022-12-01,1.3549086
1079_2023-01-01,1.3549086
1079_2023-02-01,1.3549086
1079_2023-03-01,1.3549086
1079_2023-04-01,1.3549086
1079_2023-05-01,1.3549086
1079_2023-06-01,1.3549086
1081_2022-11-01,4.0300627
1081_2022-12-01,4.0300627
1081_2023-01-01,4.0300627
1081_2023-02-01,4.0300627
1081_2023-03-01,4.0300627
1081_2023-04-01,4.0300627
1081_2023-05-01,4.0300627
1081_2023-06-01,4.0300627
1083_2022-11-01,2.9556651
1083_2022-12-01,2.9556651
1083_2023-01-01,2.9556651
1083_2023-02-01,2.9556651
1083_2023-03-01,2.9556651
1083_2023-04-01,2.9556651
1083_2023-05-01,2.9556651
1083_2023-06-01,2.9556651
1085_2022-11-01,1.4121
1085_2022-12-01,1.4121
1085_2023-01-01,1.4121
1085_2023-02-01,1.4121
1085_2023-03-01,1.4121
1085_2023-04-01,1.4121
1085_2023-05-01,1.4121
1085_2023-06-01,1.4121
1087_2022-11-01,1.8822141
1087_2022-12-01,1.8822141
1087_2023-01-01,1.8822141
1087_2023-02-01,1.8822141
1087_2023-03-01,1.8822141
1087_2023-04-01,1.8822141
1087_2023-05-01,1.8822141
1087_2023-06-01,1.8822141
1089_2022-11-01,6.5793228
1089_2022-12-01,6.5793228
1089_2023-01-01,6.5793228
1089_2023-02-01,6.5793228
1089_2023-03-01,6.5793228
1089_2023-04-01,6.5793228
1089_2023-05-01,6.5793228
1089_2023-06-01,6.5793228
1091_2022-11-01,1.3613777
1091_2022-12-01,1.3613777
1091_2023-01-01,1.3613777
1091_2023-02-01,1.3613777
1091_2023-03-01,1.3613777
1091_2023-04-01,1.3613777
1091_2023-05-01,1.3613777
1091_2023-06-01,1.3613777
1093_2022-11-01,1.6310794
1093_2022-12-01,1.6310794
1093_2023-01-01,1.6310794
1093_2023-02-01,1.6310794
1093_2023-03-01,1.6310794
1093_2023-04-01,1.6310794
1093_2023-05-01,1.6310794
1093_2023-06-01,1.6310794
1095_2022-11-01,2.7775466
1095_2022-12-01,2.7775466
1095_2023-01-01,2.7775466
1095_2023-02-01,2.7775466
1095_2023-03-01,2.7775466
1095_2023-04-01,2.7775466
1095_2023-05-01,2.7775466
1095_2023-06-01,2.7775466
1097_2022-11-01,4.1089792
1097_2022-12-01,4.1089792
1097_2023-01-01,4.1089792
1097_2023-02-01,4.1089792
1097_2023-03-01,4.1089792
1097_2023-04-01,4.1089792
1097_2023-05-01,4.1089792
1097_2023-06-01,4.1089792
1099_2022-11-01,1.0884768
1099_2022-12-01,1.0884768
1099_2023-01-01,1.0884768
1099_2023-02-01,1.0884768
1099_2023-03-01,1.0884768
1099_2023-04-01,1.0884768
1099_2023-05-01,1.0884768
1099_2023-06-01,1.0884768
1101_2022-11-01,4.7827415
1101_2022-12-01,4.7827415
1101_2023-01-01,4.7827415
1101_2023-02-01,4.7827415
1101_2023-03-01,4.7827415
1101_2023-04-01,4.7827415
1101_2023-05-01,4.7827415
1101_2023-06-01,4.7827415
1103_2022-11-01,3.0141246
1103_2022-12-01,3.0141246
1103_2023-01-01,3.0141246
1103_2023-02-01,3.0141246
1103_2023-03-01,3.0141246
1103_2023-04-01,3.0141246
1103_2023-05-01,3.0141246
1103_2023-06-01,3.0141246
1105_2022-11-01,0.64111501
1105_2022-12-01,0.64111501
1105_2023-01-01,0.64111501
1105_2023-02-01,0.64111501
1105_2023-03-01,0.64111501
1105_2023-04-01,0.64111501
1105_2023-05-01,0.64111501
1105_2023-06-01,0.64111501
1107_2022-11-01,0.7700907
1107_2022-12-01,0.7700907
1107_2023-01-01,0.7700907
1107_2023-02-01,0.7700907
1107_2023-03-01,0.7700907
1107_2023-04-01,0.7700907
1107_2023-05-01,0.7700907
1107_2023-06-01,0.7700907
1109_2022-11-01,1.9785838
1109_2022-12-01,1.9785838
1109_2023-01-01,1.9785838
1109_2023-02-01,1.9785838
1109_2023-03-01,1.9785838
1109_2023-04-01,1.9785838
